Grain #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,,7297.75,96.39389963888293,-67.58247771370425,305.2940645862569,246.46403367705634,2972.43329573899,1,184.33661059915727,240
2,,78.5,9.997464891746821,15.759188529737806,12.850394275050297,7.946131694635458,35.92031021678297,58,202.34713375796179,229
3,,43.25,7.420755373261929,27.404684984187902,9.222151020837257,6.1982902598201335,26.435028842544405,62,204.61271676300578,226
4,,95.75,11.041407809169618,-51.37489435577556,15.049398176208678,8.368709520380907,41.7842712474619,78,200.01044386422976,228
5,,254.0,17.983404693292407,81.55249429167205,20.08338602488412,17.16666037625649,67.44112549695427,89,203.8484251968504,231
6,,78.25,9.981532666656284,83.34814846851822,11.743191140484745,9.118733760824487,38.12741699796952,24,201.40575079872204,230
7,,88.0,10.585134856802455,30.997867205015698,13.991790032833006,8.350381755850286,41.66295090390226,57,199.88920454545453,233
8,,178.75,15.086138293858053,-38.222577610562446,16.047303005677005,14.561973457862706,56.50914498161482,69,205.85734265734266,228
9,,33.25,6.506551687525748,-1.2624135528605671,7.043622910031428,6.220886965909481,22.970562748477143,82,198.54887218045113,228
10,,29.75,6.154581744998688,88.94126441382039,6.594537623456722,6.063055628068702,21.81370849898476,61,191.25210084033614,224
11,,157.5,14.161046158239445,82.28309992750373,18.313840222821206,11.28548527692573,51.62741699796952,85,202.57142857142858,234
12,,258.5,18.1420071192258,44.46234733031002,21.227238546257496,15.740771809932465,67.82285348059956,60,199.57833655705997,227
13,,81.0,10.155412503859614,-48.53975048413983,10.735831756013823,9.884768675105018,36.21320343559643,78,202.51234567901236,223
14,,40.0,7.136496464611085,-74.02414304360248,9.53110127226034,5.718430928840302,26.970562748477143,103,198.1,226
15,,270.0,18.5411616971131,-72.21743884877289,19.114115731074833,18.31760231148849,62.7842712474619,81,200.4990740740741,225
16,,86.5,10.49453289192004,-10.882156064226182,13.880017891346023,8.3208340398424,39.42031021678297,97,202.03757225433526,225
17,,77.5,9.933582672781009,-75.79540264938535,14.268494031619927,7.227799626087534,38.69543648263006,37,195.83225806451614,226
18,,53.75,8.272643200907131,-77.75797184373918,9.262583483658101,7.709278395840669,28.79898987322333,81,195.50232558139535,222
19,,26.0,5.753627391751592,-35.41553670534191,7.715805120225359,5.26224319256627,24.071067811865476,45,192.68269230769232,223
20,,30.75,6.257165172872317,16.337341233205674,6.949068665010269,5.701519521399187,20.227922061357855,115,202.08130081300814,225
21,,79.75,10.076748170547344,9.417155920226888,13.139590673801857,8.370707274897445,40.22792206135785,62,194.72100313479623,228
22,,190.25,15.563862739881277,-61.59826257790271,17.691577416856646,13.880988895179087,58.062445840513924,47,201.55978975032852,225
23,,118.75,12.296226898414837,-67.77081086322613,14.278806708441973,10.779968716111776,45.094931419241725,81,202.02105263157895,226
24,,61.5,8.848967849484623,-4.171190755834069,10.290234533640394,7.968153393982946,32.55634918610404,44,192.890243902439,217
25,,46.75,7.715176518808164,1.7324948157024391,9.01893162044912,6.763211582442991,26.02081528017131,78,191.58288770053477,229
26,,169.0,14.668929172241665,-31.47534757473572,17.534135661572844,12.856526175712741,57.802038200428264,58,200.2041420118343,227
27,,114.0,12.047792665040703,43.17289685051109,14.04672334585179,11.730063090701195,50.2842712474619,1,191.59868421052633,225
28,,41.0,7.225151993843567,-39.128905848253815,9.122015763462565,6.030337765236363,26.763455967290593,82,194.140243902439,226
29,,215.5,16.56451393462626,-19.66448857469937,21.780859865662613,14.140134515676637,68.87310601229375,35,196.08932714617168,223
30,,202.75,16.067025788709444,4.921408933141791,17.99415901404859,15.38979787639304,62.18376618407356,61,199.7928483353884,223
31,,60.5,8.77673016883152,-25.383675078111605,10.087442279461069,8.133340835150184,32.09188309203679,48,195.2479338842975,224
32,,55.0,8.368283871884005,25.070940958041604,8.759312541923764,8.177750351881036,28.72792206135786,75,196.3090909090909,223
33,,107.5,11.699284211396439,-19.987101988680763,12.920246534996203,10.864317510537912,42.298989873223334,57,196.28372093023256,227
34,,48.75,7.878478774854901,25.364938674054176,10.767786978760594,5.915055919047969,28.88477631085023,57,189.51282051282053,224
35,,22.5,5.352372348458314,-6.2868758702782985,6.896787204107356,4.345538974317275,18.606601717798213,101,200.17777777777778,222
36,,348.25,21.057199990834974,-33.38737124906939,22.32583561323429,20.241621429177446,80.1010280736516,38,197.08040201005025,218
37,,64.0,9.0270333367641,49.669728944181706,10.242195357956755,8.167180784352263,32.12741699796952,64,197.96484375,228
38,,66.0,9.166995688475081,-8.9440472657699,10.301437988716708,8.52454075101294,33.298989873223334,48,192.4848484848485,223
39,,141.5,13.422495877444907,-20.189043461140333,19.001882425790317,9.76397584265569,53.90559159102154,48,194.2173144876325,222
40,,106.0,11.617374563210365,2.150913436288111,16.337812998906962,9.259925039187161,47.21320343559642,73,194.33254716981133,220
41,,278.5,18.83075179616424,-83.18870805166814,26.865310508880288,13.896732284256911,73.51219330881976,38,199.31328545780968,233
42,,59.75,8.722159296752494,-32.172213677730575,10.078924796264888,7.8826085748425685,31.435028842544405,84,199.34728033472803,228
43,,28.5,6.023896332520351,-7.618430446755828,7.505721650424072,4.991645806314145,22.349242404917497,99,189.42105263157896,222
44,,578.25,27.133941231290155,-16.73550298719122,29.95239537775925,24.877784456465342,100.7401153701776,3,193.71076523994813,223
45,,113.0,11.994835078277376,22.499021225281794,13.78733984108878,10.832635941126078,45.95584412271571,64,195.2079646017699,220
46,,58.25,8.611980229936854,6.346355706062805,10.84008619550755,7.019891624242737,31.556349186104047,83,193.0343347639485,220
47,,72.5,9.607802401865856,-10.533330146782882,12.83468282607196,7.493083690900707,35.09188309203678,96,195.79655172413794,219
48,,119.25,12.322086499845234,27.515563189643608,14.194227451737211,11.572292492049554,47.12741699796952,39,189.31865828092242,219
49,,55.5,8.406235467365967,-59.422530566076226,10.83582425960994,7.407014732343568,31.745689014324228,55,181.37387387387386,224
50,,85.75,10.448937312523231,-20.647119688000785,10.970512149558466,10.321547730326003,39.12741699796952,89,197.46938775510205,220
51,,261.0,18.229523339239496,-10.839536730530593,22.642764537677774,15.264834228818097,73.85838738653231,37,197.21072796934865,225
52,,363.75,21.520708268953776,-5.167424755741545,28.36990179663587,16.64354624694456,81.51219330881976,70,200.633676975945,227
53,,124.75,12.603040633343667,-79.47006093761999,16.189568282310073,11.230283142888483,53.662950903902264,9,195.85971943887776,225
54,,327.5,20.42023386008999,7.8564555499643305,22.699636086224498,18.53026860662838,73.1335136523794,62,200.82366412213742,221
55,,137.5,13.231418571003069,68.68998738497096,14.652767901078512,12.4674681243693,49.162950903902264,49,191.4018181818182,220
56,,21.75,5.262410103554244,12.088083415239423,7.696498642081839,3.7066786818316126,19.899494936611664,63,191.95402298850576,216
57,,17.75,4.753945931439391,-58.047685883251475,6.948782702507041,3.576477238203278,17.727922061357855,84,187.2112676056338,216
58,,58.75,8.6488625410045,-61.48176296288582,10.597241638222783,7.345311956114788,31.88477631085024,69,193.38297872340425,220
59,,94.75,10.983598994121039,-5.403054407851986,12.690446554562673,9.95143265137992,38.867009357883866,85,195.68601583113457,222
60,,100.5,11.311965976163641,-23.505277119690255,12.196645810090743,10.73260511215961,41.00609665440988,67,194.77611940298507,224
61,,28.75,6.050259243299904,-62.56307554147748,7.068601482242097,5.39115845912264,21.72792206135786,62,186.4695652173913,224
62,,47.5,7.776816725043752,-28.477916952746195,9.021827947512689,6.880223776247455,25.727922061357855,95,188.43684210526317,224
63,,146.75,13.669231989760256,-60.72765850011411,16.155097482350392,12.046864517951452,49.59188309203678,52,191.809199318569,222
